repo,commit_sha_full,commit_sha,commit_message,commit_type,language,author,committed_at,commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,label_source,language_group,time_period,confidence,linked_issue,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
react-bootstrap/react-bootstrap,62e75e969ee508745f2348dfd43311cfb61767f1,62e75e969e,Publish v1.0.1,other,Unknown,Jason Quense,2020-04-22 15:11:43-04:00,15,2,0,0,16,1,2,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,8.0,0.0,0.0,0
react-bootstrap/react-bootstrap,695680ff87a03bbdf6e77dd0f438ea3d3e43049a,695680ff87,Update modal.js  Fix LinkedHeading ID for without animation,bugfix,JavaScript,Tor Raswill,2020-04-22 23:57:29+02:00,23,2,0,1,1,1,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.5,0.0,0.0,0
react-bootstrap/react-bootstrap,a5b1cbae63c252c899f120d71156f3a253b5ab79,a5b1cbae63,types(Form): added Switch (#5139),feature,TypeScript,James,2020-04-24 19:00:11+02:00,19,4,0,0,15,0,3,1,0,0.0,0,clean,TypeScript,2018-2020,1.0,,15.0,0.25,0.0,0
react-bootstrap/react-bootstrap,ba668efdf412fb4b29ed86ba1bf13a521f0288c8,ba668efdf4,chore(deps): update all non-major dependencies (#5144),other,Unknown,renovate[bot],2020-04-26 22:29:14-04:00,22,6,1,1,298,284,4,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,1.05,0.0,0.0,0
react-bootstrap/react-bootstrap,bb7419a17ef78c94ce7f810473dc792801e5626a,bb7419a17e,"fix: refactor Modal, add ref deprecation warning (#5132)  * fix: refactor Modal, add ref deprecation warning  No one should be using this, but just in case  * docs: clean up docs and fix dropdown ",bugfix,JavaScript,Jason Quense,2020-04-27 10:40:31-04:00,10,0,0,0,296,267,9,1,24,2.5,0,clean,TypeScript,2018-2020,1.0,,1.1,0.1,0.25,0
react-bootstrap/react-bootstrap,ee685c2ebd35556625287111f68b56bd55fcf1d5,ee685c2ebd,types(Overlay): fixed type for `ref` (#5147),bugfix,TypeScript,Aarni Koskela,2020-04-27 16:02:17+02:00,16,0,0,0,1,1,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.5,0.0,0.0,0
react-bootstrap/react-bootstrap,8f87dddceb527eade44813942523db2d7762f73a,8f87dddceb,BootstrapModalManager: fix typo marging -> margin (#5149),bugfix,JavaScript,Aarni Koskela,2020-04-27 18:50:09-04:00,18,0,0,0,4,4,1,0,3,1.33,0,clean,TypeScript,2018-2020,1.0,,0.8,0.0,0.66,0
react-bootstrap/react-bootstrap,cb813a0047d9573f5bcf9f9ce08b8f2d7f4a6fda,cb813a0047,chore(deps): update all non-major dependencies (#5156),other,Unknown,renovate[bot],2020-05-03 22:05:49-04:00,22,6,1,1,1386,797,4,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,1.74,0.0,0.0,0
react-bootstrap/react-bootstrap,1ddd8c70ae4a031e6210ff45fa907ac7b7507a5d,1ddd8c70ae,feat(FormControl): Add support for html size attribute (#5161),feature,JavaScript,Andreas Titan,2020-05-05 11:04:18-04:00,11,1,0,0,35,0,5,1,3,6.67,0,clean,TypeScript,2018-2020,1.0,,35.0,0.17,1.11,0
react-bootstrap/react-bootstrap,60529fb5684b119b1a62993f0b9a7b08d7194e19,60529fb568,docs: Fix overlay typo (#5162),bugfix,JavaScript,Kyle Tsang,2020-05-05 18:31:56-04:00,18,1,0,0,1,1,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.5,0.0,0.0,0
react-bootstrap/react-bootstrap,ee2840835925384e7bcfa3df8a14cad199c94c7f,ee28408359,chore(deps): update dependency eslint to v7 (#5169),other,JavaScript,renovate[bot],2020-05-09 18:02:17-04:00,18,5,1,0,67,70,3,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.94,0.0,0.0,0
react-bootstrap/react-bootstrap,6ae48f05eb4f71134100ad94036a34ca311cefd4,6ae48f05eb,chore(deps): update all non-major dependencies (#5172),other,Unknown,renovate[bot],2020-05-11 11:08:08-04:00,11,0,0,0,553,407,4,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,1.36,0.0,0.0,0
react-bootstrap/react-bootstrap,042f355e9622892f0acd82d6c2b010eda01440c5,042f355e96,Added Accordion docs example requested in issue #4140 (#5171),feature,JavaScript,DiamondDrake,2020-05-12 15:19:48-04:00,15,1,0,0,58,1,5,0,3,1.67,0,clean,TypeScript,2018-2020,1.0,,29.0,0.0,0.28,0
react-bootstrap/react-bootstrap,1ce9ef14625870a6c813940cfc1119ef67c03364,1ce9ef1462,chore(deps): update dependency eslint-plugin-mocha to v7 (#5178),other,Unknown,renovate[bot],2020-05-13 21:03:28-04:00,21,2,0,0,5,5,2,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.83,0.0,0.0,0
react-bootstrap/react-bootstrap,c918dbfce2c6d4f6b2f88d09abad075a1453a406,c918dbfce2,fix: make each context unique to prevent them being optimized away by Parcel (#5181)  Co-authored-by: Jonas jobb Sandström <Jonas.Sandstrom@goldpen.se>,bugfix,JavaScript,Jonas Sandström,2020-05-15 09:20:42-04:00,9,4,0,0,12,3,3,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,3.0,0.0,0.0,0
react-bootstrap/react-bootstrap,1e67b683df84374f36c1c95bb88122c764703bae,1e67b683df,chore(deps): update all non-major dependencies (#5184),other,Unknown,renovate[bot],2020-05-18 11:36:32-04:00,11,0,0,0,336,501,4,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.67,0.0,0.0,0
react-bootstrap/react-bootstrap,b218c631062c71f1f0ef44881d190ddd12d1cbe5,b218c63106,[docs] Fix FontAwesome icons' flash when press F5 (#5160),bugfix,JavaScript,ThunderMiracle,2020-05-19 10:37:53-04:00,10,1,0,0,10,0,2,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,10.0,0.0,0.0,0
react-bootstrap/react-bootstrap,f846dfbe9b8d85fa9ec8cd3d7e50d1310fd12220,f846dfbe9b,feat(Modal): Add modal static backdrop animation (#5165),feature,JavaScript,Kyle Tsang,2020-05-19 10:39:38-04:00,10,1,0,0,202,10,6,1,12,2.25,0,clean,TypeScript,2018-2020,1.0,,18.36,0.14,0.32,0
react-bootstrap/react-bootstrap,59b1fcec6c2097539374bf3f600086a816d17b6c,59b1fcec6c,"feat(Feedback): Add support for tooltips (#5189)  * feat(Feedback): Add support for tooltips  * Renamed tooltip to feedbackTooltip in FormCheck and FormFile",feature,JavaScript,Kyle Tsang,2020-05-19 19:41:45-04:00,19,1,0,0,296,4,12,4,7,3.0,0,clean,TypeScript,2018-2020,1.0,,59.2,0.31,0.23,0
react-bootstrap/react-bootstrap,46c669838185b9617dc0a289f6c53de86236adb5,46c6698381,docs: Copy-edit headings a bit (#5191),docs,JavaScript,Jimmy Jia,2020-05-20 08:26:56-04:00,8,2,0,0,7,4,4,0,4,4.25,0,clean,TypeScript,2018-2020,1.0,,1.4,0.0,0.85,0
react-bootstrap/react-bootstrap,5c4a557572d8a52aa1d96decc375eeda03b242bb,5c4a557572,"tests: added more tests (#5193)  * test: Added more tests  * Switch to fake timers  * Clean up callback tests",feature,JavaScript,Kyle Tsang,2020-05-21 21:50:30+02:00,21,3,0,0,150,1,8,8,9,1.0,0,clean,TypeScript,2018-2020,1.0,,75.0,0.89,0.11,0
react-bootstrap/react-bootstrap,accbc5f23281b5ea2c4a06d4d3bc984155550a75,accbc5f232,docs(Form): Added missing Form.Text API and more docs/examples (#5194),feature,JavaScript,Kyle Tsang,2020-05-25 12:54:57-04:00,12,0,0,0,431,20,14,0,1,17.0,0,clean,TypeScript,2018-2020,1.0,,20.52,0.0,1.13,0
react-bootstrap/react-bootstrap,361f676ec891a290ab955c94517a22982d5716a2,361f676ec8,Add first/last column order (#5192),feature,JavaScript,Adam Bouqdib,2020-05-25 12:55:20-04:00,12,0,0,0,24,6,4,0,1,10.0,0,clean,TypeScript,2018-2020,1.0,,3.43,0.0,2.0,0
react-bootstrap/react-bootstrap,dcbed6d9aa039ae65317f1b7d8d5947c259f011e,dcbed6d9aa,chore(deps): update all non-major dependencies (#5198),other,Unknown,renovate[bot],2020-05-25 12:55:27-04:00,12,0,0,0,408,417,4,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.98,0.0,0.0,0
react-bootstrap/react-bootstrap,686f9fbb649bcee74766c28f10325e9b6469c1f4,686f9fbb64,chore(deps): update dependency gh-pages to v3 (#5206)  Co-authored-by: Renovate Bot <bot@renovateapp.com>,other,Unknown,renovate[bot],2020-05-29 20:53:19-04:00,20,4,0,0,5,5,2,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.83,0.0,0.0,0
react-bootstrap/react-bootstrap,0ba9f1769742c4aac3728b0c2eff8a09f0c5d53a,0ba9f17697,in solidarity (#5211)  https://twitter.com/kwuchu/status/1267436741692133376 and https://github.com/reactjs/reactjs.org,other,JavaScript,Jason Quense,2020-06-02 01:38:49-04:00,1,1,0,1,108,63,3,0,5,1.4,0,clean,TypeScript,2018-2020,1.0,,1.69,0.0,0.35,0
react-bootstrap/react-bootstrap,958adb1985a56100b1b69984da8036ab18e69c44,958adb1985,docs: Fix docs and console warnings (#5212),bugfix,JavaScript,Kyle Tsang,2020-06-02 10:11:55+02:00,10,1,0,0,208,196,24,0,10,1.1,0,clean,TypeScript,2018-2020,1.0,,1.06,0.0,0.04,0
react-bootstrap/react-bootstrap,b558f95d14389d6b363e067af2ac4b671e5c7f62,b558f95d14,refactor(Heading+Anchor): Rewrite Heading and Anchor to functional components (#5209),refactor,JavaScript,Mohamed SADAT,2020-06-03 22:51:52-04:00,22,2,0,1,33,33,2,0,6,1.33,0,clean,TypeScript,2018-2020,1.0,,0.97,0.0,0.44,0
react-bootstrap/react-bootstrap,ea614a21acc0144ec2756a09fba23eb081fc2b86,ea614a21ac,increased test coverage for Carousel (#5207)  Co-authored-by: Jimmy Jia <tesrin@gmail.com>,test,JavaScript,Vasundhara Mehta,2020-06-04 01:22:16-04:00,1,3,0,1,126,2,1,1,1,1.0,0,clean,TypeScript,2018-2020,1.0,,42.0,0.5,0.5,0
