repo,commit_sha_full,commit_sha,commit_message,commit_type,language,author,committed_at,commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,label_source,language_group,time_period,confidence,linked_issue,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
numba/numba,d2c5e6c332beb9c2dea25dfc3d30eb647cdc0cd2,d2c5e6c332,"Apply suggestions from code review  Switch to docs tagged as ""stable""  Co-authored-by: stuartarchibald <stuartarchibald@users.noreply.github.com>",docs,Unknown,Hannes Pahl,2020-11-09 10:50:11+01:00,10,0,0,0,2,2,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.67,0.0,0.0,0
numba/numba,243dd37c6a1872a205cc235f45f71d02d75ce1d2,243dd37c6a,Use correct extension for fallback path for static libs,other,Python,Graham Markall,2020-11-09 10:55:54+00:00,10,0,0,0,5,1,1,0,1,5.0,0,clean,Python,2018-2020,1.0,,2.5,0.0,2.5,0
numba/numba,b0ac2aedd0d77f0222b67b61f0f09a62aa8a4638,b0ac2aedd0,Add function to check static libs and test for cudadevrt in libs.test(),feature,Python,Graham Markall,2020-11-09 10:56:27+00:00,10,0,0,0,24,0,1,0,2,5.5,0,clean,Python,2018-2020,1.0,,24.0,0.0,2.75,0
numba/numba,31a47e194e07f96aa8123ccecbcddb7628a78a83,31a47e194e,CUDA: Provide path in error message for linker errors due to missing file,other,Python,Graham Markall,2020-11-09 10:57:26+00:00,10,0,0,0,5,1,1,0,1,3.0,0,clean,Python,2018-2020,1.0,,2.5,0.0,1.5,0
numba/numba,c73a606c746566bb1c51a5199dde7a9c757467db,c73a606c74,CUDA Skip CG tests when cudadevrt missing,test,Python,Graham Markall,2020-11-09 11:09:38+00:00,11,0,0,0,15,2,2,2,2,1.5,0,clean,Python,2018-2020,1.0,,5.0,0.67,0.5,0
numba/numba,025b936d8f16ed700e58b0d54464b2fb78f2bba8,025b936d8f,cudasim: Add implementation of numba.cuda.cudadrv.libs.check_static_lib  This is needed for the skip_if_cudadevrt_missing decorator,feature,Python,Graham Markall,2020-11-09 11:39:43+00:00,11,0,0,0,2,0,1,0,1,1.0,0,clean,Python,2018-2020,1.0,,2.0,0.0,0.5,0
numba/numba,c6ee179ff566c9c413c89b4d4848272ac256ddd7,c6ee179ff5,Add tests of error message for linking missing file,feature,Python,Graham Markall,2020-11-09 11:53:44+00:00,11,0,0,0,9,1,1,1,2,1.0,0,clean,Python,2018-2020,1.0,,4.5,0.5,0.5,0
numba/numba,eb596fb45ff0b5012f5f6381078a2f64e7e3ee8e,eb596fb45f,Apply suggestions from code review  Co-authored-by: stuartarchibald <stuartarchibald@users.noreply.github.com>,other,Unknown,Siu Kwan Lam,2020-11-09 13:20:07-06:00,13,0,0,0,4,4,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.8,0.0,0.0,0
numba/numba,35126f297ce9b60209cf69adb9cb1fb2007a2676,35126f297c,actually assign values to hashsecret variables,other,C,Danny Weitekamp,2020-11-09 13:26:28-05:00,13,0,0,0,4,0,1,0,1,12.0,0,clean,Python,2018-2020,1.0,,4.0,0.0,6.0,0
numba/numba,ed4dac1ff741341c14b6e75ad1d97b981d999301,ed4dac1ff7,improve is_dynamic behaviour,other,Python,Guilherme Leobas,2020-11-09 13:30:44-03:00,13,0,0,0,11,0,3,1,5,2.2,0,clean,Python,2018-2020,1.0,,11.0,0.25,0.55,0
numba/numba,03458f6e4b9f71364578266fc188a1667f7e8555,03458f6e4b,Add missing LinkerError to cudasim driver,feature,Python,Graham Markall,2020-11-09 14:21:12+00:00,14,0,0,0,4,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,4.0,0.0,0.0,0
numba/numba,e6e060ca68300980fe04ae046c5549b0120b76c3,e6e060ca68,Bump llvmlite to 0.36 series  As title.,other,Python,Stuart Archibald,2020-11-10 11:34:27+00:00,11,1,0,0,5,5,3,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.83,0.0,0.0,0
numba/numba,0e4373458d0ddfb31f42677751f71096267be9de,0e4373458d,Remove extra line.  As title.,other,Python,Stuart Archibald,2020-11-10 11:36:50+00:00,11,1,0,0,0,1,1,0,1,3.0,0,clean,Python,2018-2020,1.0,,0.0,0.0,1.5,0
numba/numba,13b95695991d50c15c8af50b6a7c159dfd11c35d,13b9569599,Update docs/source/developer/numba-runtime.rst,docs,Unknown,stuartarchibald,2020-11-10 11:39:01+00:00,11,1,0,0,2,2,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.67,0.0,0.0,0
numba/numba,ecfdb416e80d338ec4ce286b15c41c85e5d635eb,ecfdb416e8,Add loop rotate to cheap pass  As title,feature,Python,Stuart Archibald,2020-11-11 10:36:06+00:00,10,2,0,0,3,0,1,0,1,4.0,0,clean,Python,2018-2020,1.0,,3.0,0.0,2.0,0
numba/numba,ad2964f3b0191e49d3f2ee24da0c5d25afa205af,ad2964f3b0,Require attrs to be iterable and not string,other,Python,Stuart Archibald,2020-11-11 10:44:14+00:00,10,2,0,0,4,6,3,0,3,3.67,0,clean,Python,2018-2020,1.0,,0.57,0.0,0.92,0
