repo,commit_sha_full,commit_sha,commit_message,commit_type,language,author,committed_at,commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,label_source,language_group,time_period,confidence,linked_issue,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
mwaskom/seaborn,4e8ca8521537b952a4129c363fb68c2168ce5a1f,4e8ca85215,PEP8 on Py27,other,Python,Michael Waskom,2020-01-19 15:00:29-05:00,15,6,1,0,2,2,1,1,1,19.0,0,clean,Python,2018-2020,1.0,,0.67,0.5,9.5,0
mwaskom/seaborn,477775744ba9c5ba13e7accf9b8468922c2191ad,477775744b,Force alphabetical sort of example gallery thumbs,other,Python,Michael Waskom,2020-01-19 15:02:24-05:00,15,6,1,0,6,10,1,0,3,4.0,0,clean,Python,2018-2020,1.0,,0.55,0.0,2.0,0
mwaskom/seaborn,70ad6ed70e0833152dd1d61461b2f46f0b25b80a,70ad6ed70e,Add file with pinned versions of doc dependencies,feature,Unknown,Michael Waskom,2020-01-19 17:45:54-05:00,17,6,1,0,4,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,4.0,0.0,0.0,0
mwaskom/seaborn,a1c19dd3dda9789b3dbd3f0f17023f1c00cea795,a1c19dd3dd,Add v0.9.1 to release notes page,feature,Unknown,Michael Waskom,2020-01-20 13:38:18-05:00,13,0,0,0,5,1,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,2.5,0.0,0.0,0
mwaskom/seaborn,7648a7c0181124de04f4d60e612ecef96ed43a79,7648a7c018,Add a relplot example to line/scatterplot  Closes #1664,feature,Python,Michael Waskom,2020-01-20 14:14:10-05:00,14,0,0,0,18,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,18.0,0.0,0.0,0
mwaskom/seaborn,7dece1458fcd2d7e87b0a71a47a85327f27607d7,7dece1458f,Add intersphinx links where kwargs are defined  Closes #1937,feature,Python,Michael Waskom,2020-01-20 15:11:55-05:00,15,0,0,0,55,49,8,0,3,12.67,0,clean,Python,2018-2020,1.0,,1.1,0.0,1.41,0
mwaskom/seaborn,2fec4b3ffa1619f81088383c9f565b51f6171fd6,2fec4b3ffa,Update to reflect new example data,feature,Python,Michael Waskom,2020-01-20 15:38:47-05:00,15,0,0,0,3,2,1,0,1,2.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,1.0,0
mwaskom/seaborn,cae68ac4e04dd4ee883b13cea345e32d413ffaf1,cae68ac4e0,New pytest breaks coverage?,feature,Unknown,Michael Waskom,2020-01-20 15:55:41-05:00,15,0,0,0,1,1,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.5,0.0,0.0,0
mwaskom/seaborn,210cf9f43104c62b112471d59a24b34a317cf691,210cf9f431,Update release notes,other,Unknown,Michael Waskom,2020-01-20 20:37:40-05:00,20,0,0,0,10,8,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.11,0.0,0.0,0
mwaskom/seaborn,e4e89a0d877e779621cd3e89d3aa394ab5c5b411,e4e89a0d87,Update install docs to reflect new minimum dependencies  [ci skip],feature,Unknown,Michael Waskom,2020-01-20 20:44:16-05:00,20,0,0,0,10,23,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.42,0.0,0.0,0
mwaskom/seaborn,de9947a2d1ad96f10480897e1cabb337353f8a13,de9947a2d1,Fix gallery generator,bugfix,Python,Michael Waskom,2020-01-21 07:14:41-05:00,7,1,0,0,2,2,1,0,1,3.0,0,clean,Python,2018-2020,1.0,,0.67,0.0,1.5,0
mwaskom/seaborn,5c4562db19e4bc6ef3f240b6affe7ae56a451585,5c4562db19,Release notes text,other,Unknown,Michael Waskom,2020-01-21 07:15:20-05:00,7,1,0,0,1,1,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.5,0.0,0.0,0
mwaskom/seaborn,4739e2e27130044faf4bb32a246d7e8da8bdef54,4739e2e271,More improvements to clustergrid layout  This enables use of tight_layout within clustermap. Ideally most plots will now have everything in the figure and looking nice out of the box. It uses a somewh,feature,Python,Michael Waskom,2020-01-21 14:10:23-05:00,14,1,0,0,35,8,2,1,4,5.5,0,clean,Python,2018-2020,1.0,,3.89,0.33,1.83,0
mwaskom/seaborn,882e761d4b78807e0e08998e3c31e506936f4d4f,882e761d4b,Improve clustermap API examples,other,Python,Michael Waskom,2020-01-21 14:42:01-05:00,14,1,0,0,17,23,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.71,0.0,0.0,0
mwaskom/seaborn,cb942cec27029b4c8b049144f9b7dafabe015676,cb942cec27,Remove commented code  [ci skip],other,Python,Michael Waskom,2020-01-21 15:25:24-05:00,15,1,0,0,0,2,1,0,1,9.0,0,clean,Python,2018-2020,1.0,,0.0,0.0,4.5,0
mwaskom/seaborn,350375d59e4ad1407b0b2b7a7308d1fa0bbb9bb3,350375d59e,Add thumbnail images on the tutorial homepage,feature,Unknown,Michael Waskom,2020-01-21 22:33:48-05:00,22,1,0,1,105,9,3,0,0,0.0,0,clean,Python,2018-2020,1.0,,10.5,0.0,0.0,0
mwaskom/seaborn,3020ee7b4e7019b845ee3f5abb0153b38bdc8aa2,3020ee7b4e,Drop Python 2 from setup files,other,Python,Michael Waskom,2020-01-21 22:37:34-05:00,22,1,0,1,6,11,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.5,0.0,0.0,0
mwaskom/seaborn,f76e5abbeb747c00c18df321a7211b754c016d8a,f76e5abbeb,Excise six,other,Python,Michael Waskom,2020-01-21 22:50:52-05:00,22,1,0,1,26,936,15,2,66,5.03,0,clean,Python,2018-2020,1.0,,0.03,0.12,0.31,0
mwaskom/seaborn,a0f8a95e76ccc02098976903baf7ece290aa39b2,a0f8a95e76,Drop 2.7 (and 3.5) from travis build,other,Unknown,Michael Waskom,2020-01-22 06:51:11-05:00,6,2,0,0,3,23,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.12,0.0,0.0,0
mwaskom/seaborn,0ad290c29927bd9366e8ee3f78f8e032c1637ab1,0ad290c299,Remove references to 2.7 from README/docs,docs,Unknown,Michael Waskom,2020-01-22 07:00:40-05:00,7,2,0,0,5,5,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.83,0.0,0.0,0
mwaskom/seaborn,6101805e33dc8e87d9d7e8cc9ce0bd51f41e2f79,6101805e33,Make tutorial thumbnails link to relevant page,other,Unknown,Michael Waskom,2020-01-22 07:08:59-05:00,7,2,0,0,21,7,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,2.62,0.0,0.0,0
mwaskom/seaborn,2ce30c92ab445007687f8b11f652877dcb097774,2ce30c92ab,Modernize minimal dependencies,other,Python,Michael Waskom,2020-01-22 09:12:22-05:00,9,2,0,0,8,8,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.89,0.0,0.0,0
